สหเวชศาสตร์," 2,627 "
ศิลปศาสตร์," 1,793 "
สาธารณสุขศาสตร์," 1,620 "
รัฐศาสตร์และนิติศาสตร์," 1,557 "
เภสัชศาสตร์," 1,490 "
